run_number,layers,heads,epochs,train_steps,context_length,embd_dim,batch_size,domain_config,domain_id,experiment_type,use_standard_dataset,debug_mode,status
367,2,4,400,100000,12,32,512,domains.ini,A,comparison,true,false,completed
368,2,4,400,100000,12,32,512,domains.ini,C,comparison,true,false,completed
369,2,4,400,100000,12,64,256,domains.ini,A,comparison,true,false,completed
370,2,4,400,100000,12,64,256,domains.ini,C,comparison,true,false,completed
371,2,4,400,100000,12,64,512,domains.ini,A,comparison,true,false,completed
372,2,4,400,100000,12,64,512,domains.ini,C,comparison,true,false,completed
373,2,4,400,100000,24,16,256,domains.ini,A,comparison,true,false,completed
374,2,4,400,100000,24,16,256,domains.ini,C,comparison,true,false,completed
375,2,4,400,100000,24,16,512,domains.ini,A,comparison,true,false,completed
376,2,4,400,100000,24,16,512,domains.ini,C,comparison,true,false,completed
377,2,4,400,100000,24,32,256,domains.ini,A,comparison,true,false,completed
